ID,Title,Url,Summary,Year,DeveloperName,DeveloperID,GameID,1,Tetris,https://www.igdb.com/games/tetris,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.

The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",1989,Nintendo,70,8197
364,Impossible Mission,https://www.igdb.com/games/impossible-mission,"The situation: for three days have the strategic central computers of the great powers acted up. An unknown person manipulates their programmes; at the end of these programmes is the starting command for the intercontinental rocket. The countdown is on, only 6 hours keep the humanity from an atomic inferno. An unknown person? Only professor Elvin, the insane computer expert could crack the top secret start code, Elvin, who entrenches himself in his intangible subterraneous, guarded by 90 murderous robots, that until now had hunted down every intruder. No one who has ever set foot on the lift to Elvins cave labyrinth has returned back alive.

The last hope: Special Agent 4125, the most cunning, toughest and most indiscriminate man, that the secret service can offer. Only ice cold reckoning and superior physical condition give this unarmed hero a tiny chance to avert the disaster in the last minute.

The game: your task is to put a stop to evil Elvin Atombender's game. For this you have to enter in his laboratory, protected by a vault somewhere on his underground stronghold. To open the laboratory's door you need a nine letters password, each letter of which Elvin coded into a punchcard, just for cutting in four each one of them, painting them in different colors and hiding the resulting pieces everywhere in his base's furniture. So all you have to do is search into every object of every room for pieces of puzzle while surviving the robots, the pits and doctor Elvin's annoying voice, retrieve all the 36 pieces, put them together in groups of four, and head for the laboratory, where an unpleasant surprise waits you",1984,Epyx,366,4929
365,Uncharted 4: A Thief's End,https://www.igdb.com/games/uncharted-4-a-thief-s-end,"Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves.",2016,Naughty Dog,401,7331
366,Call of Duty,https://www.igdb.com/games/call-of-duty,"The player has two primary weapon slots, a handgun slot and can carry up to eight grenades (all of the later Call of Duty games feature only two weapon slots; a sidearm will fill one of these slots). Weapons may be exchanged with those found on the battlefield dropped by dead soldiers.",2003,Infinity Ward,438,621
367,Zelda II: The Adventure of Link,https://www.igdb.com/games/zelda-ii-the-adventure-of-link,"Zelda II: The Adventure of Link is the second major installment in The Legend of Zelda series and the direct sequel to the first game. Like its predecessor, it features dungeons that must be located in the overworld and searched for an item that will prove useful. However, the game presents many very important gameplay changes compared to the previous one, affecting especially the movements and the combat. Moving around the world map involves encounters with enemies that take place on a side-scrolling playfield rather than the top-down perspective for which the series became known.",1987,Nintendo R&D4,32471,1025
368,Spacewar!,https://www.igdb.com/games/spacewar,"Spacewar! is one of the earliest digital computer video games. It is a two-player game, with each player taking control of a starship and attempting to destroy the other. A star in the center of the screen pulls on both ships and requires maneuvering to avoid falling into it.

In 1971 it was unofficially ported into a coin-operated PDP-11 machine and renamed Galaxy Game. As an arcade machine it was installed at the Tresidder Union at Stanford University in September, 1971, two months before the official release of Computer Space, the first mass-produced video game. Only one unit was built initially, although the game later included several consoles allowing users to play against each other.",1962,Steve Russel,17180,11301
369,Ninja Gaiden (2004),https://www.igdb.com/games/ninja-gaiden,"Ninja Gaiden is an action-adventure hack and slash video game developed by Team Ninja for the Xbox video game console.
The game follows the fictional story of Ryu Hayabusa, a master ninja, in his quest to recover a stolen sword and avenge the slaughter of his clan.",2004,Team NINJA,769,5972
370,Mega Man 3,https://www.igdb.com/games/mega-man-3,"It's robot rebellion, and nobody's safe! Least of all, Mega Man! This time the superpowerful cyborg takes on a horde of metal maniacs who've had it with being obedient! And they use every android-annihilator ever invented to make you believe it! Mega Man goes berserk, blasting through a galaxy of mining stations in search of energy crystals. But it takes more than guts to battle the phenomenal robot masters who control these worlds. It's a wrenching job, the worst - and the best - that Mega Man's faced so far!",1990,Capcom,37,1716
371,Ghosts N Goblins,https://www.igdb.com/games/ghosts-n-goblins--1,"Ghosts 'n Goblins is a platform game where the player controls a knight, named Sir Arthur, who must defeat zombies, ogres, demons, cyclops, dragons and other monsters in order to rescue Princess Prin Prin, who has been kidnapped by Satan, king of Demon World. Along the way the player can pick up new weapons, bonuses and extra suits of armor that can help in this task.

The game is often considered very difficult by arcade standards and is commonly regarded as one of the most difficult games ever released. The player can only be hit twice before losing a life (the first hit takes away Arthur's armor, and the player must continue on in his underwear until completing the level or finding replacement armor). If the player loses a life, he is returned to the start of the level, or the halfway point if he has managed to get that far. Furthermore, each life can only last a certain length of time (generally around three minutes), the clock being reset at the start of a level. If the clock does run out, the player instantly loses that life.",1986,Capcom,37,39048
372,Pac-Man Championship Edition,https://www.igdb.com/games/pac-man-championship-edition,"Pac-Man Championship Edition is similar in basic gameplay to the original 1980 Pac-Man: players have to eat dots, while avoiding the four ghosts that roam around the maze. Championship Edition, however, also brings many gameplay differences.

The game was designed by Tōru Iwatani, the creator of the classic original 1980 arcade game Pac-Man, and it was Iwatani's final game before his retirement.",2007,Namco Bandai Games,6330,20900
373,Track & Field (Series),https://www.igdb.com/games/track-field,"Track & Field is an Olympic-themed arcade game. The simple gameplay, based on quick repeating button presses, set the basics for sequels and similar games in the genre for the next decades.",1983,Konami,129,6439
374,Super Monkey Ball,https://www.igdb.com/games/super-monkey-ball,"Super Monkey Ball is a 2001 platform party video game developed by Amusement Vision and published by Sega. The game debuted in Japan at the 2001 Amusement Operators Union trade show as Monkey Ball, an arcade cabinet running on Sega's NAOMI hardware and controlled with a distinctive banana-shaped analog stick. Due to the failure of Sega's Dreamcast home console and the company's subsequent restructuring, an enhanced port dubbed Super Monkey Ball was released as a launch title for the GameCube in late 2001, garnering interest as Sega's first game published for a Nintendo home console.

Conceived by Amusement Vision head Toshihiro Nagoshi, Super Monkey Ball involves guiding a transparent ball containing one of four monkeys—AiAi, MeeMee, Baby, and GonGon—across a series of maze-like platforms. The player must reach the goal without falling off or letting the timer reach zero to advance to the next stage. There are also several multiplayer modes: independent minigames as well as extensions of the main single-player game.",2001,Amusement Vision,1096,2927
375,Street Fighter Alpha 3,https://www.igdb.com/games/street-fighter-alpha-3,"Street Fighter Alpha 3 is the third game in the Street Fighter Alpha series. It features a complete gameplay overhaul with the addition of three selectable fighting styles, new stages, over seven new and returning characters and an exclusive soundtrack. The game's illustrations, select screens, soundtrack and sound effects all have a similar style to the Final Fight series, unlike the previous games.",1998,Capcom Production Studio 1,660,6704
376,God Hand,https://www.igdb.com/games/god-hand,"THERE AIN'T NO JUSTICE IN THE
WILD, WEIRD WEST. JUST YOU.
Things can't get any worse after demonic thugs cut your arm off, right? Dead wrong, partner. The lady you saved from them has only gone and given you the legendary GOD HAND as a replacement - the ultimate hand-to-hand weapon. Every undead outlaw in a Stetson, rootin' tootin' demon and circus freak in the prairies is going to want to fight you for it. Welcome to the town of Asskickin... have a nice stay y'all.

BIG HAND - Explosive martial arts and hand-to-hand action get in your face and ugly. No bullets, lots of bruised knuckles.

SLAP STICKS - Totally customisable fight system. Pull off the most outrageous combo moves ever with awesome God Hand powers - punch your opponent into orbit!

FIGHTING FORM - Pugilistic adventure from the makers of RESIDENT EVIL, DEVIL MAY CRY and VIEWTIFUL JOE!",2006,Clover Studio,2055,8803
377,Flower,https://www.igdb.com/games/flower,"ESCAPE TO A DREAMLIKE WORLD

From the studio behind the genre-bending titles Journey and flOw comes Flower, a unique gaming experience that lets you soar through a dreamlike world of luscious fields and rolling hills. Control the wind to carry a stream of flower petals around each landscape and watch as it comes to life.

Every level has its own unique aims and little mysteries – but you don’t have to worry about them if you don’t feel like it. Flower is about doing what you want, when you want. Freedom is everything.",2009,ThatGameCompany,857,1354
378,Peggle,https://www.igdb.com/games/peggle,"Take your best shot with energizing arcade fun! Aim, shoot, clear the orange pegs, then sit back and cheer as 10 whimsical teachers guide you to Peggle greatness. Conquer 55 fanciful levels with 10 mystical Magic Powers, racking up bonus points and shots you'll smile about for weeks. Face off against your friends in Duel Mode, or tackle 75 extra-tricky challenges. It's luck and skill and joyous thrills, and amidst all this fevered action only one question remains: Can you become a Peggle Master?",2007,PopCap Games,1893,3751
379,Star Wars: X-Wing vs TIE Fighter,https://www.igdb.com/games/star-wars-x-wing-vs-tie-fighter,"Star Wars: X-Wing vs. TIE Fighter is the third release of the X-Wing computer game series.

The player has the ability to choose for each mission which squadron he or she wants to fly in (e.g. either the Y-wings that disable a ship for capture or the X-wings that support them), his or her specific ship type, and the ship's armaments.",1997,Totally Games,77,170
380,Kingdom Hearts,https://www.igdb.com/games/kingdom-hearts,"Kingdom Hearts is an action role-playing game developed and published by Squaresoft for the PlayStation 2. It is the result of a collaboration between Square and The Walt Disney Company. The game combines characters and settings from Disney's animated features with those from the Final Fantasy series, developed by Square.

Kingdom Hearts was a departure from Square's standard role-playing games by introducing a substantial action-adventure element. In addition, it has an all-star voice cast which included many of the Disney characters' official voice actors. Kingdom Hearts was longtime Square character designer Tetsuya Nomura's first time in a directorial position.

The game uses an experience based progression system, with experience gained by defeating foes. Experience gained rises in relation to the strength of the foe, and is consistent for each enemy over the course of the game. Levels are gained with experience, and provide increases to stat attributes in strength, defence, magic, hit points, magic points and ability points, with a new, predetermined ability unlocked approximately every four levels.",2002,Square,250,1219
381,Elite Beat Agents,https://www.igdb.com/games/elite-beat-agents,"The public knows of government agencies like the FBI and CIA, but little is known of this super-secret agency. Code-named ""Elite Beat Agents"", these men in black are heroes' heroes and the coolest group of guys this world has ever known. Of course, according to official records, they do not exist. Their leader, an ex-CIA agent named Commander Kahn, scans the world for cries of help. When he finds one, he dispatches the agents, who assist their targets by performing a song and dance. The hypnotic nature of their rocking revives the targets with ""Groovy"" energy that boosts their willpower and helps them overcome their obstacles. In each stage, the agents arrive in a special ""Beat Transport"" and must tap and trace patterns that appear on-screen to the beat of the music to save the day.",2006,iNiS,1728,9109
382,"Operative, The: No One Lives Forever",https://www.igdb.com/games/the-operative-no-one-lives-forever,"No One Lives Forever is to be a fast-paced, story-driven first-person shooter that delivers over-the-top action, outrageous villains, and wry humor in the tradition of the great 1960's Bond films. You play Cate Archer an undercover operative for MI-Zero. Your mission is to arrange for the defection of a prominent East German biophysicist that goes by the name of Otto Dentz. However things go wrong when a terrorist group known as the HARM abducts Dentz during a flight to England.

Assume the role of Cate Archer, an operative working for UNITY, a secret organization fighting to free the world from the clutches of H.A.R.M.. From tense subterfuge to in-your-face combat, No One Lives Forever ups the ante with 1960's-influenced spy action, vivid international locates, and deadly arch villains.",2000,Monolith Productions,407,897
383,Call of Duty 2,https://www.igdb.com/games/call-of-duty-2,"Call of Duty 2 is a first-person shooter that has a single-player story mode and a multiplayer mode. The player takes on the roles of several Allied protagonists in specific missions during World War II. The player can crouch and lie prone, and is able to scale low walls and other obstacles. Two firearms can be carried, which can be swapped with those left on the battlefield, and both fragmentation and smoke grenades can also be carried. A gun's iron sights can be used to aim more accurately. A compass on the heads-up display (HUD) shows both allies and enemies, and objective markers to indicate locations the player must reach, areas to defend, or enemy cannons or tanks that the player must plant explosives on to disable.

Emplaced weapons such as machine guns and flak cannons are available in some locations to take out enemy troops. In addition, some missions place the player in control of a tank.",2005,Infinity Ward,438,622
384,Mother 3,https://www.igdb.com/games/mother-3,"A turn-based JRPG and sequel to EarthBound (1994) in which a tragedy surrounding a family in the primitive yet joyful village of Tazmily incites the coming-of-age story of Lucas, the family's younger son, who goes on perilous adventures along with his friends in order to find his missing brother and stop a group of masked men from bringing about the end of the world.",2006,HAL Laboratory,762,3683
385,Kingdom Hearts II,https://www.igdb.com/games/kingdom-hearts-ii,"Kingdom Hearts II is an action role-playing game, and the primary entry to the series since the 2002 Disney Interactive and Square collaboration. The game's setting is a collection of various levels (referred to in-game as ""worlds"") that the player progresses through. As in the first game, it II allows the player to travel to locales from various Disney works, along with original worlds specifically created for the series.",2005,Square Enix,26,1221
386,Grand Prix Legends,https://www.igdb.com/games/grand-prix-legends,"Grand Prix Legends (nicknamed GPL) is a computer racing simulator developed by Papyrus Design Group and published in 1998 by Sierra Entertainment. At the time of its release, it simulated the 1967 Formula One season and is considered to be one of the most realistic racing games ever released.",1998,Papyrus Design Group,670,729
387,Ridge Racer,https://www.igdb.com/games/ridge-racer--1,"Ridge Racer was initially released on the Namco System 22 arcade system board, and was later ported to the PlayStation console. It is the first title in the long-running Ridge Racer series of games released for arcades and home consoles. The game's objective is to finish in first place in a series of races. Ridge Racer was among the first racing games to utilise polygon graphics to its full potential.",1993,Namco,263,18696
388,Centipede,https://www.igdb.com/games/centipede,"Centipede is a vertically-oriented shoot 'em up arcade game produced by Atari, Inc. in 1980. The game was designed by Ed Logg along with Dona Bailey, one of the few female game programmers in the industry at this time. It was also the first arcade coin-operated game to have a significant female player base. The player defends against swarms of insects, completing a round after eliminating the centipede that winds down the playing field.",1981,Atari,82,2235
389,Stunt Car Racer,https://www.igdb.com/games/stunt-car-racer,"Race a single computer opponent for first place on a unique racetrack -- 100 feet in the air! You start in the fourth three-man division of a league, all racing each other twice, and must come top to progress. The action is viewed from within the car throughout the 3-lap races, with the distance between you always on screen.

Jump chasms, jumps, and drawbridges; take banks hard or slow; pass your opponent on the track or while catching mass air. Your car has the ability to burn a limited amount of turbo boost fuel as a way to accelerate faster and achieve higher speeds, but don't use it all up at once or you'll fall behind. Don't damage your engine too much; severe dents will show up during your next race.

Whatever you do, don't fall off the track, as this will cost you time as you are placed back on.",1989,,0,12225
390,TowerFall (AKA TowerFall: Ascension),https://www.igdb.com/games/towerfall-ascension,"Enter the land of TowerFall with your friends and engage in the noble and brutal tradition of bow-and-arrow combat. TowerFall is an archery combat platformer for 1-4 players, with an arcade co-op mode and hilarious, intense versus matches. The core mechanics are simple and accessible, but combat is fast and fierce. The focus is on player mastery and friendly rivalry.

TowerFall Ascension is an enhanced version of the original Ouya release.
TowerFall Ascension was initially released on PlayStation 4 and Windows, through Steam, in March 2014, with Mac and Linux versions available soon after.
A Vita and Xbox One version have also been released.

The original Ouya game was eventually updated with Ascension's content in August 2014, according to the archived page, but the page's release date was later changed to November 2016.

A Nintendo Switch version of the game, under the original title of TowerFall, was released in 2018 with all the content from Acension and the Dark World expansion as well as some new exclusive features and updates.",2014,Extremely OK Games,33387,9567
391,Virtua Fighter 5,https://www.igdb.com/games/virtua-fighter-5,"Virtua Fighter 5 features an all-star cast of 17 fighters, including characters from the previous iterations along with two new characters named El Blaze and Eileen. The game delivers fast-paced, adrenaline-pumping action as players head into battle, taking on a host of popular characters. Players not only achieve victory by defeating highly-skilled opponents, but also by competing for prizes which earn them in-game money allowing them to buy many items at in-game shop. These items allow players to customize their ultimate warrior and become the top Virtua Fighter.",2006,Sega AM2,830,1555
392,Rayman 2: The Great Escape,https://www.igdb.com/games/rayman-2-the-great-escape,"With its enchanted storybook look beautifully translated into 3D, lush, vibrant colors, funny enemy designs, and clever jumping puzzles, Rayman 2 is platforming perfection. No arms, no legs, no problem for the little French creation that could.",1999,Ubisoft Montpellier,702,843
393,California Games,https://www.igdb.com/games/california-games,"Introducing the gnarliest bunch of games under the sun. Games invented on the beaches by sun-baked beach bums with a fondness for ripping, grinding, and shredding. With six radically thrilling events intended to bring you to the edge and blow your mind. And make adrenaline California's most plentiful natural resource.

Wish they all could be California Games.
Get ready to shred the face off an awesomely tubular wave. Turn a ""berm"" on a BMX bike and spray up a wall of dirt. Launch a few feet off-the-lip with your skateboard tucked high. And while you're up there, dance for the crowd. Or if you're feeling like kicking back a bit, float a flying disk, juggle a foot bag with your heels, or just slalom the boardwalk on skates.

When the going gets weird, the weird turn pro.
But this ain't beach blanket bingo. In fact, before you even set foot on California turf, you'll choose an on-screen sponsor from among the heaviest names on the circuit. Then, hit the competition route. Prizes include trophies for a single event and a top prize in overall competition.

So get air. Go crazy. Welcome to a new state of intensity.

California Games was the original ""Extreme Games"" – what today's generation might call ""X-Games in the sun"". Players can select sponsors (absent in some versions) and compete in events such as skateboarding, footbag, surfing, roller skating, flying disc (frisbee) and BMX. The surfing event is ranked by judges, which give a score to help the players improve their routine.

The Atari versions (2600 and Lynx) of the game omit the flying disc and roller skating events, while the Genesis version omits only the flying disc event.",1987,Epyx,366,11984
394,Eve Online,https://www.igdb.com/games/eve-online,"EVE Online is a free MMORPG sci-fi strategy game where you can embark on your own unique space adventure. EVE's open world MMORPG sandbox, renowned among online space games, lets you choose your own path and engage in combat, exploration, industry and much more.",2003,CCP Games,853,2584
395,Guardian Heroes,https://www.igdb.com/games/guardian-heroes,Guardian Heroes is a 2D side-scrolling beat 'em up video game with RPG elements.,1996,Treasure,861,21838
396,Super Smash Bros. Brawl,https://www.igdb.com/games/super-smash-bros-brawl,"Super Smash Bros. Brawl is the third installment in the Super Smash Bros. series and the follow-up to Super Smash Bros. Melee. This edition introduces super attacks referred to as final smashes: activated by destroying smash balls, these feature powerful and often unstoppable attacks, regularly introducing a major transformation of the character. This edition also introduces a brand new adventure mode in The Subspace Emissary which is a side-scrolling adventure in the style of a platformer. It retains all basic mechanics of the Super Smash Bros. series, such as a damage meter, stocks, and Smash-style attacks.",2008,Sora,876,1628
397,Earthworm Jim,https://www.igdb.com/games/earthworm-jim,"A crow is chasing a worm named Jim while in outer space Psy-Crow is chasing a renegade ship. The ship's captain has stolen an ultra-high-tech-indestructible-super-space-cyber-suit and Queen Slug-for-a-Butt has ordered Psy-Crow to get it, since it can make her more beautiful than Princess-What's-Her-Name. Psy-Crow blasts the captain and the suit falls to Planet Earth.

Back on earth Jim wonders if he is finally safe when an ultra-high-tech-indestructible-super-space-cyber-suit lands on him. Luckily Jim rests in the neck ring of the suit. Then the space particles begin interacting with Jim, causing a light-speed evolution. Jim soon realizes he is in control of the suit.

Jim overhears the Queen's plans for the suit and decides to meet this Princess...",1994,Shiny Entertainment,88,3480
398,Worms,https://www.igdb.com/games/worms,"Worms combines the best elements from the very best games ever created. It requires great thought, strategy and elements of sheer outrageous fortune. It provides the players with an almost infinite range of playing possibilities. It does take a little while to get into the swing of things however and despite everyone’s insistence that you should not need to read a game manual to be able to play it. Worms can be played by 1-16 players at the same time - it’s a turn based game so you`ll only need one machine - but prepare to be at odds with your loved ones, get ready to shout abuse at your best friend and be willing to exact unadulterated terror on those who plot to hurt your worms.

Team17 planned on producing Worms for the Virtual Boy back in 1995. Though, after a few weeks, they cancelled this plan due to the lack of interest of the publisher and the expected failure of the Virtual Boy.",1995,Team17,16437,9331
399,Hot Shots Golf (Series),https://www.igdb.com/games/hot-shots-golf--1,"Everybody's Golf, known in Japan as Minna no Golf, is the first game in the Everybody's Golf series. The North American release was renamed Hot Shots Golf. It was the only game in the series to be developed by Camelot Software Planning, which later developed the Mario Golf series.",1997,Camelot Software Planning,784,36665
400,Alpha Centauri,https://www.igdb.com/games/sid-meier-s-alpha-centauri,"Legendary designer Sid Meier presents the next evolution in strategy games, with the most addictive, compelling gameplay yet. Explore the alien planet that is your new home and uncover its myriad mysteries. Discover over 75 extraordinary technologies. Build over 60 base upgrades and large scales secret projects for your empire. Conquer your enemies with a war machine that you design from over 32,000 possible unit types.",1999,Firaxis Games,377,863
401,Cave Story,https://www.igdb.com/games/cave-story,A side-scrolling platformer in which a robot traverses a strange world that has been thrown into disorder due to its violent history and a doctor that is attempting to exploit the inhabitants to aid him in his own pursuit for power.,2004,Studio Pixel,3923,6189
402,"World Ends With You, The",https://www.igdb.com/games/the-world-ends-with-you,"In the game, Neku Sakuraba and his allies are forced to participate in a game that will determine their fate. The battle system uses many of the unique features of the Nintendo DS, including combat that takes place on both screens, and attacks performed by certain motions on the touchscreen or by shouting into the microphone. Elements of Japanese youth culture, such as fashion, food, and cell phones, are key aspects of the missions.",2007,Square Enix,26,1343
403,Manic Miner,https://www.igdb.com/games/manic-miner,Manic Miner is a platform video game originally written for the ZX Spectrum by Matthew Smith and released by Bug-Byte in 1983 (later re-released by Software Projects). It is the first game in the Miner Willy series and among the early titles in the platform game genre. The game itself was inspired by the Atari 800 game Miner 2049er. It has since been ported to numerous home computers and video game consoles.,1983,,0,10161
404,Dragon's Lair,https://www.igdb.com/games/dragon-s-lair,"Haven't heard of Dragon's Lair?! Well, you play the heroic Dirk the Daring, a valiant knight on a quest to rescue the fair princess from the clutches of an evil dragon! Originally released in the summer of 1983, Dragon's Lair has solidified itself as a cultural icon in gaming.",1983,Advanced Microcomputer Systems,2419,4248
405,Viewtiful Joe,https://www.igdb.com/games/viewtiful-joe,"Joe is no ordinary man and Viewtiful Joe is no ordinary game. Capcom's new superhero action game mixes funky cartoon-style visuals with classic side-scrolling gameplay and introduces the world's quirkiest million dollar action hero. More than just any ordinary dude, Joe must transform into the ultimate superhero. It's up to you to activate the correct view mode like ""slow"" or ""zoom in"" in order to clobber your enemies with beautiful style. You can also speed up or slow down your visual effects for even more ""viewtiful"" moves. Viewtiful Joe mixes an innovative viewpoint with an amazing stunt-filled action movie universe.",2003,Team Viewtiful,2054,4229
406,Phoenix Wright: Ace Attorney,https://www.igdb.com/games/phoenix-wright-ace-attorney,"Meet Phoenix Wright, the rookie defense lawyer new to the scene with the wildest cross-examination skills in town! Take on five intriguing cases to reveal dramatic, stunning, and even comical court proceedings. Use both the touch screen to investigate the crime scenes, question witnesses and present shocking evidence. “Objection!”...It’s outrageous fun! You won’t be able to put down this laugh-out-loud, riveting adventure!",2005,Capcom,37,1426
407,Bomberman,https://www.igdb.com/games/bomberman,"Bomberman is a robot engaged in the production of bombs. Like his fellow robots, he had been put to work in an underground compound by evil forces. Bomberman found it to be an unbearably dreary existence. One day, he heard an encouraging rumor. According to the rumor, any robot that could escape the underground compound and make it to the surface could become human. Bomberman leaped at the opportunity, but escape proved to be no small task. Alerted to Bomberman's betrayal, large numbers of the enemy set out in pursuit. Bomberman can rely only on bombs of his own production for his defense. Will he ever make it up to the surface? Once there, will he really become human?",1985,Hudson Soft,864,3445
408,Xenoblade Chronicles,https://www.igdb.com/games/xenoblade-chronicles,"Xenoblade Chronicles follows Shulk and his band of friends as they search for answers about the mysterious ""Monado"" sword and defend their homeland from violent robotic creatures known as the Mechon. The game contains an open world design and strongly emphasizes exploration due to the world's large size. The game was very well received by critics, with many citing it as a great example of innovation and improvement in Japanese role-playing video games. The game has spawned a sub-series of the larger ""Xeno"" series, including Xenoblade Chronicles X (Wii U) and Xenoblade Chronicles 2 (Switch).",2010,Monolith Soft,1119,2364
409,Super Castlevania IV,https://www.igdb.com/games/super-castlevania-iv,"A century of Transylvanian tranquility is about to come to a shocking end. Once again the mortifying screams of helpless villagers shake the ground as they huddle against new nightmarish horrors unleashed by the Duke of Darkness, Count Dracula. And this time he has a tombstone with your name on it, Simon Belmont.
You must descend into Castle of the Undead and its gruesome ground, accompanied by the most chilling sound effects to ever tingle your spine. Inside, a freshly dug 11 levels maze features the treacherous Terrace of Terror, the dangerous Rotating Dungeon, the Sunken Ruins of Lost Spirits, torture chambers and creature filled caves. Use your whip like a grappling hook and swing past hundreds of traps and a host of ghost freaks, living corpses and hidden goblins. All while dodging or destroying the unpredictable spitting lizards, carnivorous coffins, and more.
Find the concealed weapons needed to defeat everything from eerie phantoms to haunted furniture. Then prepare to find yourself face-to-thing with hideous torments like the Tongue Lasher, the Darkest Knight, the Bone-Afide Horseman and the Granite Crusher. When your nerves get shot, use your password and take a breather. But forge on, Simon Belmont, because if you though Dracula was down for the count, he's only just begun to fright!",1991,Konami,129,1124
410,Shinobi,https://www.igdb.com/games/shinobi,"The five missions in the game are each three or four stages long. Several hostages are being held in each stage; Joe must rescue all of them before he is allowed to finish the stage. The last stage in each mission has no hostages, but instead features a powerful boss character whom Joe must defeat. After completing each of the first four missions the player is taken to a bonus stage, where he can earn an extra life if he is able to kill all of the ninjas leaping towards him. Completing the fifth mission ends the game. Also, once the fifth mission begins, continues are no longer allowed; the player has to finish the game with however many lives he has left at that point. If the player earns a place on the high score board, the number of credits it took him to get that score is displayed along with his score.

Joe's standard weapons are an unlimited supply of shuriken, along with punches and kicks when attacking at close range. One hostage per stage gives him a power-up. When powered-up, his throwing stars are replaced by a gun that fires large, explosive bullets, and his close-range attack becomes a katana slash. Joe can also perform ""ninja magic,"" which may be used only once per stage and kills (or damages, in the case of bosses) all enemies on the screen. The game also allows the enemies to hide behind boxes or use shields to block Musashi's shurikens.[4]

Joe can be killed with one hit, provided he is hit by a projectile or melee attack, but if he does not find himself in those situations, the player can touch regular enemies and just be pushed back without being damaged. Since most enemies appear in the same place on each level, it is possible to master the game by memorizing their locations and devising patterns to defeat them.

At the end of each stage, the player receives score bonuses based on performance. Completing the stage without using ninja magic or without using any throwing stars or bullets earns the player a point bonus. The player has three minutes to complete each stage; remaining time at the end of the stage is also converted to bonus points and added to the player's score.",1987,Team Shinobi,10180,6899
411,Indiana Jones and the Fate of Atlantis,https://www.igdb.com/games/indiana-jones-and-the-fate-of-atlantis--1,"A point-and-click adventure game by LucasArts originally released in 1992. Almost a year later, it was reissued on CD-ROM as an enhanced ""talkie"" edition with full voice acting and digitized sound effects. In 2009, this version was also released as an unlockable extra of the Wii action game Indiana Jones and the Staff of Kings, and as a digitally distributed Steam title. The seventh game to use the script language SCUMM, Fate of Atlantis has the player explore environments and interact with objects and characters by using commands constructed with predetermined verbs. It features three unique paths to select, influencing story development, gameplay and puzzles.",1992,LucasArts,10,184
412,Tempest,https://www.igdb.com/games/tempest,"Tempest is a 1981 arcade game by Atari Inc., designed and programmed by Dave Theurer. It takes place on a three-dimensional surface, sometimes wrapped into a tube, which is viewed from one end and is divided into a dozen or more segments or lanes. The player controls a claw-shaped spaceship (named Blaster) that crawls along the near edge of the playfield, moving from segment to segment. Tempest was one of the first games to use Atari's Color-QuadraScan vector display technology. It was also the first game to allow the player to choose their starting level (a system Atari dubbed ""SkillStep""). This feature increases the maximum starting level depending on the player's performance in the previous game, essentially allowing the player to continue.

An official port was released for the Atari ST. An official port that bears the Atari logo was released by Superior Software for the BBC Micro and Acorn Electron in 1985, and another by Electric Dreams for the ZX Spectrum and Amstrad CPC in 1987. Versions for the Atari 2600 and 5200 were in the works in Atari, Inc. during 1984, and unfinished prototypes exist for both of them.",1981,Atari,82,15383
413,Head Over Heels,https://www.igdb.com/games/head-over-heels,"Two distinct characters called Mr Head and Mr Heels are played in this arcade adventure. They are separated at the shoulders but capable of joining together to maximize their abilities in some situations (but reduce them in others, so they can be split again).

The game is presented from an isometric perspective, and presents the characters with a number of puzzles involving switches, jumps and climbs. The levels are 3 dimensional, and the characters must collect crowns as they progress. Objects can be picked up and manipulated as necessary.",1987,Ocean Software,1271,12138
414,Pilotwings,https://www.igdb.com/games/pilotwings,"Are you ready to earn your wings at the most exclusive flight school in the world? Then report immediately to the secret Pilotwings Flight Club, where your training begins! You'll see the ground twist beneath you as you jump from your plane and attempt a precision skydive (don't forget to pull your rip cord!). You'll relive the early days of flying as you bring your biplane in for a pin-point landing. After you master the basics, you'll be called on to test an experimental rocket pack, soar in a hang glider, and pilot an advanced attack helicopter in a hazardous rescure mission.

The realism is incredible as the Super NES takes you airborne with multi-dimensional graphics, endless skylines and the freedom to fly wherever you like. Do you have what it takes to earn your wings? Then get going! You're late for your first class!",1990,Nintendo EAD,421,9619
415,Crash Bandicoot,https://www.igdb.com/games/crash-bandicoot,"Crash Bandicoot is the first installment in the Crash Bandicoot series that established Naughty Dog's reputation in the video game industry. Its premises chronicle the creation of the titular Crash, a bandicoot who has been uplifted by the mad scientist Doctor Neo Cortex. The goal of Crash Bandicoot is to traverses several levels in sequence in order to progress. The game is played from a third-person perspective in which the camera trails behind Crash, though some levels showcase forward-scrolling and side-scrolling perspectives. Crash is able to defeat enemies by either jumping on them or using a spinning attack that launches them.",1996,Naughty Dog,401,1185
